id,created_at,locale,duration_seconds,top_result,score_empathy,score_self_awareness,score_self_regulation,score_social_skills,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10
152,2026-06-02T12:32:53.990987+00:00,en,59,self_awareness,89,100,83,100,3,3,3,3,2,2,3,3,3,3
153,2026-06-02T13:08:42.141225+00:00,en,124,social_skills,56,78,50,83,2,2,3,2,1,2,1,2,3,2
154,2026-06-02T16:45:58.051841+00:00,en,69,self_awareness,33,56,50,17,2,2,1,2,1,2,0,1,0,1
155,2026-06-02T18:30:08.360403+00:00,en,7,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,2026-06-02T18:30:37.038402+00:00,en,11,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2026-06-02T18:31:40.091911+00:00,en,11,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,2026-06-02T19:36:43.326519+00:00,en,5,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,2026-06-02T19:37:41.193403+00:00,en,11,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2026-06-02T20:00:47.701651+00:00,en,9,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,2026-06-02T20:02:09.76782+00:00,en,11,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,2026-06-02T21:03:31.30864+00:00,en,10,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2026-06-02T21:04:15.553294+00:00,en,11,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2026-06-03T00:01:52.789986+00:00,en,39,self_awareness,67,100,67,67,3,3,3,2,2,3,2,1,3,1
165,2026-06-03T07:21:10.246863+00:00,en,73,social_skills,56,56,33,67,2,2,1,1,1,2,1,2,2,2
166,2026-06-03T08:52:50.617407+00:00,,265,self_awareness,44,100,17,50,3,3,3,0,1,3,1,0,1,2
167,2026-06-03T11:07:07.823043+00:00,he,7,self_awareness,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,2026-06-03T15:29:56.086657+00:00,en,61,empathy,89,78,67,83,2,2,3,2,2,2,3,3,2,3
169,2026-06-04T01:40:20.770157+00:00,en,86,empathy,78,67,67,50,2,2,2,2,2,2,2,3,2,1
170,2026-06-04T02:15:37.84678+00:00,en,233,empathy,100,89,50,83,3,3,2,1,2,3,3,3,2,3
171,2026-06-04T04:53:57.923205+00:00,en,43,self_awareness,100,100,100,100,3,3,3,3,3,3,3,3,3,3
172,2026-06-04T07:08:14.53135+00:00,en,12,self_awareness,100,100,100,100,3,3,3,3,3,3,3,3,3,3
173,2026-06-04T08:17:10.867192+00:00,en,80,self_awareness,44,67,50,33,2,3,1,2,1,1,1,2,1,1
174,2026-06-04T09:55:59.383809+00:00,en,67,empathy,78,67,67,50,2,2,2,2,2,2,2,3,3,0
175,2026-06-04T11:53:47.962704+00:00,en,69,self_awareness,67,89,50,17,2,3,3,2,1,2,1,3,0,1
176,2026-06-04T14:26:34.275801+00:00,en,104,social_skills,78,89,67,100,2,3,3,2,2,2,2,3,3,3
177,2026-06-04T16:10:23.751339+00:00,en,83,social_skills,11,11,0,67,1,0,0,0,0,1,0,0,3,1
178,2026-06-04T18:48:21.367942+00:00,en,59,social_skills,78,67,50,100,2,1,3,2,1,2,3,2,3,3
